method,n_datasets,mean_f1,mean_rank,win_count
random_cov_state,1,0.8915066026410564,1.0,1
pca_cov_state,1,0.8857116920842412,2.0,0
raw_mixup,1,0.879673948827525,3.0,0
raw_aug_timewarp,1,0.8724279835390947,4.0,0
raw_aug_scaling,1,0.8658575031525851,5.0,0
raw_aug_jitter,1,0.8591384544762602,6.0,0
csta_group_template_top,1,0.8511539765198903,7.0,0
csta_top1_current,1,0.8251937984496124,8.0,0
dba_sameclass,1,0.72654050738661,9.0,0
no_aug,1,0.20725055023629438,10.5,0
raw_smote_flatten_balanced,1,0.20725055023629438,10.5,0
