method,mean_f1,n_dataset_seed
wdba_sameclass,0.6679222249312298,21
dba_sameclass,0.6633089519049827,21
raw_aug_jitter,0.6616569891263591,21
raw_aug_timewarp,0.660861040401209,21
spawner_sameclass_style,0.6608128472973602,21
raw_aug_window_slicing,0.6592485456870069,21
random_cov_state,0.6481301127637586,21
pca_cov_state,0.6470301977697014,21
raw_aug_magnitude_warping,0.6451996854142933,21
raw_aug_window_warping,0.6300960695469776,21
raw_aug_scaling,0.6274711300259364,21
raw_smote_flatten_balanced,0.6228572366008869,21
raw_mixup,0.6215713496243738,21
