dataset,mean_f1_a,std_f1_a,mean_f1_b,std_f1_b,mean_gain_a,mean_gain_b,mean_delta,std_delta,n_seeds,seed_win,seed_loss,seed_tie,result
articularywordrecognition,0.9797708481534567,0.006062159447904349,0.9654175087392477,0.007138812870612635,0.016663909359561562,0.002310569945352503,0.014353339414209057,0.011867291227326014,3,3,0,0,win
atrialfibrillation,0.26854256854256847,0.10282668713089323,0.17222222222222217,0.10555555555555554,0.033999333999334004,-0.062321012321012316,0.09632034632034632,0.16634328615770017,3,2,1,0,win
basicmotions,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0,0,3,tie
cricket,0.9813843563843564,0.01612169342034551,0.9813843563843565,0.008018753738744838,-0.00929163429163434,-0.009291634291634229,-1.1102230246251565e-16,0.013986013986014012,3,1,1,1,tie
epilepsy,0.9714943308852239,0.0004958398109402933,0.9706258106585527,0.007477423481578774,0.013048092140054238,0.012179571913383072,0.0008685202266711656,0.007043624080555719,3,2,1,0,win
ering,0.8205151780046046,0.05623328413328154,0.7878228568457231,0.10050334503549231,0.07359377016000805,0.04090144900112658,0.03269232115888147,0.10973493497225834,3,1,2,0,win
ethanolconcentration,0.27421298970049424,0.02939472251013186,0.2706648530087039,0.013953342154883412,-0.004940705404933752,-0.008488842096724089,0.003548136691790336,0.016080834736634998,3,2,1,0,win
fingermovements,0.5289125965573828,0.019479775255389353,0.5089990018996103,0.030044369177122478,0.04829226236375974,0.028378667705987293,0.019913594657772444,0.01056470891726803,3,3,0,0,win
handmovementdirection,0.2723931737766877,0.03121677247031496,0.2903481591789633,0.040230056358109334,0.06270189920867104,0.08065688461094661,-0.01795498540227557,0.049048770883449735,3,2,1,0,loss
handwriting,0.4680564886832321,0.011426032686779424,0.4643840351655004,0.015589582982105032,0.06795647099545575,0.0642840174777241,0.0036724535177316553,0.017466532319286986,3,2,1,0,win
har,0.9553691732491746,0.003947949667689935,0.9504481152861262,0.0041288659511442465,0.020474229777689017,0.015553171814640629,0.004921057963048388,0.0033945991281993074,3,3,0,0,win
heartbeat,0.6554403285887614,0.029992120997410845,0.6278719355893646,0.04303455325546757,0.0024133103002577836,-0.02515508269913898,0.027568392999396767,0.028728456062909354,3,3,0,0,win
japanesevowels,0.9785341333074079,0.0069528804284001424,0.9839705286795409,0.009416793921985411,0.012383174275029033,0.017819569647162064,-0.005436395372133029,0.0037153271092301016,3,0,3,0,loss
libras,0.8674927711586049,0.057510021177380584,0.8863739151294322,0.027549082333211673,0.30699576250958627,0.3258769064804136,-0.018881143970827335,0.03317900679498164,3,1,2,0,loss
motorimagery,0.4486584126953809,0.06732509617945091,0.46327033447294647,0.057342346273607576,0.012505204071286913,0.027117125848852435,-0.01461192177756552,0.03795563952762402,3,1,2,0,loss
natops,0.9608696404345388,0.005711285449272913,0.9535241013126406,0.011625995422057398,0.03922710815136262,0.03188156902946445,0.00734553912189817,0.011485547854847334,3,2,1,0,win
pendigits,0.9852420447660474,0.003762410826942357,0.9877961433402455,0.0016417207128736266,0.002217632538239108,0.0047717311124371165,-0.0025540985741980085,0.002175435700532959,3,0,3,0,loss
racketsports,0.8877814485757538,0.007457931092273792,0.8846388859417199,0.012082812432002751,0.01817394890372955,0.015031386269695765,0.0031425626340337853,0.006895186314474573,3,1,1,1,win
selfregulationscp2,0.4638288066312343,0.04382104707552169,0.48993781636211625,0.04264863180581242,0.013088263930042476,0.03919727366092449,-0.02610900973088202,0.010665312867261557,3,0,3,0,loss
uwavegesturelibrary,0.7900257724292011,0.02127038066098667,0.8188289480291107,0.01861104276025042,0.08067367592973866,0.10947685152964814,-0.028803175599909487,0.03515798276250521,3,1,2,0,loss
