dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,scaling_low,scaling_high,mixup_alpha,smote_k_neighbors,dba_k,dba_max_iter,wdba_k,wdba_max_iter,wdba_tau
natops,1,raw_aug_jitter,success,,0.9373000436629222,0.9601036657949743,0.022803622132052115,1440,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.9720279720279721,30,0,0,3.748630102025345,,,,,,,,,
natops,1,raw_aug_scaling,success,,0.9373000436629222,0.9720323546664197,0.034732311003497496,1440,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_amplitude_uniform,0.972027972027972,30,0,0,3.5151098300120793,0.8,1.2,,,,,,,
natops,1,raw_aug_timewarp,success,,0.9373000436629222,0.9554317347864623,0.018131691123540072,1440,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_timewarp,0.9458874458874459,28,0,0,3.084998262987938,,,,,,,,,
natops,1,raw_mixup,success,,0.9373000436629222,0.9495962847631229,0.012296241100200667,1440,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,0.972027972027972,27,0,0,2.9536151150241494,,,0.4,,,,,,
natops,1,raw_smote_flatten_balanced,success,,0.9373000436629222,0.9373000436629222,0.0,0,0.0,0.0,flattened_raw,hard,resnet1d,True,True,imbalanced-learn,False,class_balancing_smote_auto,0.972027972027972,18,0,0,0.48879942001076415,,,,5.0,,,,,
natops,1,dba_sameclass,success,,0.9373000436629222,0.9555432064462351,0.01824316278331295,1440,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.972027972027972,20,0,0,8.871051473019179,,,,,5.0,5.0,,,
natops,1,wdba_sameclass,success,,0.9373000436629222,0.9604306383507204,0.02313059468779821,1440,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.972027972027972,29,0,0,9.649819715996273,,,,,,,5.0,5.0,11.578942162904728
natops,2,raw_aug_jitter,success,,0.9070392331641024,0.9354695594928013,0.028430326328698907,1440,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.9720279720279721,12,0,0,1.4671186250052415,,,,,,,,,
natops,2,raw_aug_scaling,success,,0.9070392331641024,0.9662711654925226,0.05923193232842017,1440,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_amplitude_uniform,0.9720279720279721,30,0,0,3.519902097992599,0.8,1.2,,,,,,,
natops,2,raw_aug_timewarp,success,,0.9070392331641024,0.9498950325707759,0.0428557994066735,1440,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_timewarp,1.0,30,0,0,3.360543431015685,,,,,,,,,
natops,2,raw_mixup,success,,0.9070392331641024,0.9251688961219386,0.018129662957836246,1440,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,0.9720279720279721,30,0,0,3.2916506309993565,,,0.4,,,,,,
natops,2,raw_smote_flatten_balanced,success,,0.9070392331641024,0.9070392331641024,0.0,0,0.0,0.0,flattened_raw,hard,resnet1d,True,True,imbalanced-learn,False,class_balancing_smote_auto,1.0,27,0,0,0.4786720229894854,,,,5.0,,,,,
natops,2,dba_sameclass,success,,0.9070392331641024,0.9609623015873016,0.05392306842319916,1440,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.9720279720279721,30,0,0,6.215052194951568,,,,,5.0,5.0,,,
natops,2,wdba_sameclass,success,,0.9070392331641024,0.9387630329108326,0.03172379974673023,1440,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,13,0,0,6.398810728976969,,,,,,,5.0,5.0,11.561992780484731
natops,3,raw_aug_jitter,success,,0.9205883200225039,0.9494792444145893,0.028890924392085404,1440,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.972027972027972,30,0,0,3.46838569897227,,,,,,,,,
natops,3,raw_aug_scaling,success,,0.9205883200225039,0.9215371278214929,0.000948807798988982,1440,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_amplitude_uniform,0.9720279720279721,29,0,0,3.1350094720255584,0.8,1.2,,,,,,,
natops,3,raw_aug_timewarp,success,,0.9205883200225039,0.9833302460560032,0.06274192603349926,1440,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_timewarp,0.972027972027972,21,0,0,2.3483668189728633,,,,,,,,,
natops,3,raw_mixup,success,,0.9205883200225039,0.9140585993711464,-0.006529720651357485,1440,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,0.9458874458874459,17,0,0,1.8636358419898897,,,0.4,,,,,,
natops,3,raw_smote_flatten_balanced,success,,0.9205883200225039,0.9205883200225039,0.0,0,0.0,0.0,flattened_raw,hard,resnet1d,True,True,imbalanced-learn,False,class_balancing_smote_auto,0.9458874458874459,30,0,0,0.5274140370311216,,,,5.0,,,,,
natops,3,dba_sameclass,success,,0.9205883200225039,0.9553391164665586,0.034750796444054655,1440,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.972027972027972,30,0,0,6.211220991972368,,,,,5.0,5.0,,,
natops,3,wdba_sameclass,success,,0.9205883200225039,0.9422418566904924,0.021653536667988527,1440,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.972027972027972,26,0,0,7.8610459440387785,,,,,,,5.0,5.0,11.490804832062672
har,1,raw_aug_jitter,success,,0.9355290262377642,0.9596370183550359,0.02410799211727166,58810,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.9993727931337353,30,0,0,129.97552021598676,,,,,,,,,
