dataset,no_aug,best_rawaug,raw_mixup,dba_sameclass,raw_smote_flatten_balanced,random_cov_state,pca_cov_state,csta_top1_current,csta_group_template_top,csta_top1_minus_no_aug,csta_group_minus_no_aug,csta_top1_minus_best_rawaug,csta_group_minus_best_rawaug,csta_top1_minus_raw_mixup,csta_group_minus_raw_mixup,csta_top1_minus_dba_sameclass,csta_group_minus_dba_sameclass,csta_top1_minus_raw_smote_flatten_balanced,csta_group_minus_raw_smote_flatten_balanced,csta_top1_minus_random_cov_state,csta_group_minus_random_cov_state,csta_top1_minus_pca_cov_state,csta_group_minus_pca_cov_state,csta_group_minus_csta_top1
articularywordrecognition,0.9631069387938953,,,,,0.9654175087392479,0.9687439634975866,,,,,,,,,,,,,,,,,
atrialfibrillation,0.23454323454323456,,,,,0.17222222222222225,0.11259666259666261,,,,,,,,,,,,,,,,,
basicmotions,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
cricket,0.9906759906759907,,,,,0.9813843563843565,0.9860139860139862,,,,,,,,,,,,,,,,,
epilepsy,0.9584462387451698,,,,,0.9706258106585528,0.9667815852593377,,,,,,,,,,,,,,,,,
ering,0.7469214078445964,,,,,0.7878228568457231,0.8501776214953166,,,,,,,,,,,,,,,,,
ethanolconcentration,0.27915369510542803,,,,,0.2706648530087039,0.2456723023182481,,,,,,,,,,,,,,,,,
fingermovements,0.4806203341936231,,,,,0.5089990018996103,0.517310301078417,,,,,,,,,,,,,,,,,
handmovementdirection,0.2096912745680167,,,,,0.2903481591789633,0.2976569238271552,,,,,,,,,,,,,,,,,
handwriting,0.4001000176877763,,,,,0.4643840351655004,0.4674405889172228,,,,,,,,,,,,,,,,,
har,0.9348949434714856,,,,,0.9504481152861262,0.952658934909662,,,,,,,,,,,,,,,,,
heartbeat,0.6530270182885037,,,,,0.6278719355893646,0.5920382176898239,,,,,,,,,,,,,,,,,
japanesevowels,0.966150959032379,,,,,0.9839705286795409,0.9701810617784153,,,,,,,,,,,,,,,,,
libras,0.5604970086490186,,,,,0.8863739151294322,0.894147141174047,,,,,,,,,,,,,,,,,
motorimagery,0.436153208624094,,,,,0.46327033447294647,0.4844047439880412,,,,,,,,,,,,,,,,,
natops,0.9216425322831762,,,,,0.9535241013126406,0.9512742307142527,,,,,,,,,,,,,,,,,
pendigits,0.9830244122278082,,,,,0.9877961433402455,0.9878735541580331,,,,,,,,,,,,,,,,,
racketsports,0.8696074996720241,,,,,0.8846388859417199,0.8798842950588853,,,,,,,,,,,,,,,,,
selfregulationscp2,0.45074054270119185,,,,,0.48993781636211636,0.5128788972306962,,,,,,,,,,,,,,,,,
uwavegesturelibrary,0.7093520964994625,,,,,0.8188289480291107,0.8047224511119886,,,,,,,,,,,,,,,,,
